index,name,district,official,cov,cov_centres,bM,jM,bF,jF,adv,belt,jam_won,men_lead,women_lead,both_lead
254,Comilla-6,Cumilla,BNP,51.9,53.1,62.557358836883544,33.568806453171035,60.23332583089504,37.42966464100833,3.8608581878372945,False,False,BNP,BNP,BNP
255,Comilla-7,Cumilla,Other,33.9,36.2,28.17768803634528,0.0,27.32321102207226,0.0,0.0,False,False,BNP,BNP,BNP
256,Comilla-8,Cumilla,BNP,18.1,19.0,79.26452751130223,17.124269489469622,79.05065686327512,18.61923555171109,1.4949660622414669,False,False,BNP,BNP,BNP
257,Comilla-9,Cumilla,BNP,12.1,13.4,59.85384390529085,34.884536685179775,58.42969146595973,37.543008629928366,2.658471944748591,False,False,BNP,BNP,BNP
258,Comilla-10,Cumilla,BNP,45.3,42.1,58.313107758689064,37.84006725995019,54.666666666666664,42.20074349442379,4.360676234473601,False,False,BNP,BNP,BNP
259,Comilla-11,Cumilla,Jamaat,34.5,38.7,40.85432639649507,56.9803690285618,35.55813824782777,62.54358293209364,5.563213903531839,False,True,Jamaat,Jamaat,Jamaat
260,Chandpur-1,Chandpur,BNP,29.2,32.7,64.49393697230812,32.448490323477294,64.29080299894834,33.45659327611358,1.0081029526362855,False,False,BNP,BNP,BNP
261,Chandpur-2,Chandpur,BNP,17.8,18.1,68.85289787177085,0.0,70.61313868613139,0.0,0.0,False,False,BNP,BNP,BNP
262,Chandpur-3,Chandpur,BNP,28.8,29.1,59.52786395763839,34.98565396906856,59.01811995355243,36.628770489589805,1.6431165205212466,False,False,BNP,BNP,BNP
263,Chandpur-4,Chandpur,Other,12.2,11.9,28.796666938975573,26.836042806960215,27.515400410677618,28.122489063476475,1.2864462565162604,False,False,BNP,Jamaat,BNP
264,Chandpur-5,Chandpur,BNP,30.2,31.0,65.15158876688369,0.0,66.9810121755929,0.0,0.0,False,False,BNP,BNP,BNP
265,Feni-1,Feni,BNP,30.5,33.1,59.39878601021293,36.949609788997016,58.933780385582565,38.64207879295893,1.6924690039619108,False,False,BNP,BNP,BNP
266,Feni-2,Feni,BNP,24.1,24.7,62.43259200944696,0.0,58.739771624058065,0.0,0.0,False,False,BNP,BNP,BNP
267,Feni-3,Feni,BNP,37.9,42.2,58.57012863465277,37.31645779046201,54.290053151100985,42.77264916277025,5.45619137230824,False,False,BNP,BNP,BNP
268,Noakhali-1,Noakhali,BNP,15.7,17.0,54.431331713525395,35.051486752285086,52.78871391076115,38.85061242344707,3.799125671161981,False,False,BNP,BNP,BNP
270,Noakhali-3,Noakhali,BNP,27.7,30.1,54.45914844649022,40.66063395752694,54.035015929617394,42.27632771168854,1.6156937541615974,False,False,BNP,BNP,BNP
271,Noakhali-4,Noakhali,BNP,57.5,60.6,57.63601119965539,36.88994184794314,56.513675008020535,38.564725697786336,1.6747838498431946,False,False,BNP,BNP,BNP
272,Noakhali-5,Noakhali,BNP,16.2,18.1,56.309598075037876,36.40495499509848,55.102139373158835,39.44076882213744,3.0358138270389645,False,False,BNP,BNP,BNP
273,Noakhali-6,Noakhali,NCP,46.4,51.9,39.62158656319191,0.0,32.59815950920245,0.0,0.0,False,False,BNP,BNP,BNP
275,Lakshmipur-2,Lakshmipur,BNP,15.7,17.2,55.40280715247068,40.107671601615074,50.89526723052006,45.181752744286484,5.07408114267141,False,False,BNP,BNP,BNP
276,Lakshmipur-3,Lakshmipur,BNP,25.2,27.7,54.51285116557083,42.46704627677982,48.99266549066939,48.574876984495404,6.107830707715586,False,False,BNP,BNP,BNP
277,Lakshmipur-4,Lakshmipur,BNP,14.2,14.8,45.3899157825659,33.692442305588976,48.56139867841409,34.92566079295154,1.2332184873625636,False,False,BNP,BNP,BNP
280,Chittagong-3,Chattogram,BNP,12.8,14.5,59.37543372657876,35.447605829285216,56.676905075325436,39.461752230510456,4.01414640122524,False,False,BNP,BNP,BNP
282,Chittagong-5,Chattogram,BNP,19.3,21.0,63.55706324206445,0.0,70.43228018613765,0.0,0.0,False,False,BNP,BNP,BNP
283,Chittagong-6,Chattogram,BNP,23.5,25.3,64.72077511076489,17.488680072058035,67.74233432245302,17.09940652818991,-0.38927354386812496,False,False,BNP,BNP,BNP
284,Chittagong-7,Chattogram,BNP,10.2,10.9,59.970032272936834,19.306131857999077,65.49596582819174,18.165638348362602,-1.1404935096364746,False,False,BNP,BNP,BNP
285,Chittagong-8,Chattogram,BNP,44.0,42.5,57.241607530242305,24.394234658234364,62.192310225950244,23.870797742693398,-0.5234369155409659,False,False,BNP,BNP,BNP
286,Chittagong-9,Chattogram,BNP,61.2,62.8,63.52675469075747,31.214384989576093,66.90970039807249,29.082338152105596,-2.1320468374704973,False,False,BNP,BNP,BNP
287,Chittagong-10,Chattogram,BNP,73.4,72.7,56.929127126613665,38.37736171667949,60.419995778936894,35.820243012633036,-2.5571187040464523,False,False,BNP,BNP,BNP
288,Chittagong-11,Chattogram,BNP,69.6,69.2,54.96906445017572,39.37701281520185,60.3967042002987,35.62115084492625,-3.7558619702756033,False,False,BNP,BNP,BNP
290,Chittagong-13,Chattogram,BNP,17.7,20.3,53.955210402745166,18.033230991511648,68.13897280966768,16.102719033232628,-1.9305119582790198,False,False,BNP,BNP,BNP
295,Cox's Bazar-2,Cox's Bazar,BNP,16.8,17.7,52.488732118361746,38.69292572996277,53.94930198383542,37.7234876316434,-0.9694380983193653,False,False,BNP,BNP,BNP
297,Cox's Bazar-4,Cox's Bazar,BNP,24.4,27.8,47.20550899036622,51.03119674468751,50.660234515299834,48.06155146307969,-2.969645281607825,False,False,Jamaat,BNP,Jamaat
298,Khagrachhari,Khagrachhari,BNP,13.3,13.8,57.605760576057605,27.195576700527194,61.40596745027125,26.28390596745027,-0.9116707330769245,False,False,BNP,BNP,BNP
